IMAGE, DETECTOR, DESCRIPTOR, MATCHER, SELECTOR, #KEYPOINTS, #KEYPOINTS ON VEHICLE, #DESCRIPTORS, #MATCHED KEYPOINTS, DETECTOR ELAPSED TIME, DESCRIPTOR ELAPSED TIME, MATCHER ELAPSED TIME
9, BRISK, BRISK, MAT_BF, SEL_KNN, 2672, 254, 16256, 184, 48.2837, 3.28432, 2.05112
0, BRISK, BRIEF, MAT_BF, SEL_KNN, 2757, 264, 8448, 0, 49.3116, 1.18165, 0
1, BRISK, BRIEF, MAT_BF, SEL_KNN, 2777, 282, 9024, 178, 49.8649, 1.22394, 2.0379
2, BRISK, BRIEF, MAT_BF, SEL_KNN, 2741, 282, 9024, 205, 48.2141, 1.12499, 2.18626
3, BRISK, BRIEF, MAT_BF, SEL_KNN, 2735, 277, 8864, 185, 48.2458, 1.16653, 2.16952
4, BRISK, BRIEF, MAT_BF, SEL_KNN, 2757, 297, 9504, 179, 47.8493, 1.273, 2.39939
5, BRISK, BRIEF, MAT_BF, SEL_KNN, 2695, 279, 8928, 183, 47.9996, 1.15776, 2.29282
6, BRISK, BRIEF, MAT_BF, SEL_KNN, 2715, 289, 9248, 195, 48.8362, 1.20116, 2.23946
7, BRISK, BRIEF, MAT_BF, SEL_KNN, 2628, 272, 8704, 207, 46.9217, 1.13717, 2.14184
8, BRISK, BRIEF, MAT_BF, SEL_KNN, 2639, 266, 8512, 189, 46.6741, 1.1463, 1.99295
9, BRISK, BRIEF, MAT_BF, SEL_KNN, 2672, 254, 8128, 183, 47.9402, 1.08552, 1.86636
0, BRISK, ORB, MAT_BF, SEL_KNN, 2757, 264, 8448, 0, 49.3971, 4.89063, 0
1, BRISK, ORB, MAT_BF, SEL_KNN, 2777, 282, 9024, 162, 49.0493, 4.79727, 2.07142
2, BRISK, ORB, MAT_BF, SEL_KNN, 2741, 282, 9024, 175, 48.7671, 4.8163, 2.18731
3, BRISK, ORB, MAT_BF, SEL_KNN, 2735, 277, 8864, 158, 47.9579, 4.96554, 2.14093
4, BRISK, ORB, MAT_BF, SEL_KNN, 2757, 297, 9504, 167, 49.9487, 4.97617, 2.24858
5, BRISK, ORB, MAT_BF, SEL_KNN, 2695, 279, 8928, 160, 49.0368, 6.33379, 3.08951
6, BRISK, ORB, MAT_BF, SEL_KNN, 2715, 289, 9248, 182, 48.8169, 4.92374, 2.19279
7, BRISK, ORB, MAT_BF, SEL_KNN, 2628, 272, 8704, 167, 46.7686, 4.84778, 2.25168
8, BRISK, ORB, MAT_BF, SEL_KNN, 2639, 266, 8512, 171, 49.0481, 4.86929, 2.01326
9, BRISK, ORB, MAT_BF, SEL_KNN, 2672, 254, 8128, 172, 48.9157, 5.01264, 1.94748
0, BRISK, FREAK, MAT_BF, SEL_KNN, 2757, 264, 15488, 0, 48.5151, 50.9859, 0
1, BRISK, FREAK, MAT_BF, SEL_KNN, 2777, 282, 16640, 160, 48.2576, 51.7879, 1.9155
2, BRISK, FREAK, MAT_BF, SEL_KNN, 2741, 282, 16832, 177, 48.9641, 52.508, 1.97204
3, BRISK, FREAK, MAT_BF, SEL_KNN, 2735, 277, 16896, 155, 48.8804, 51.6505, 2.00612
4, BRISK, FREAK, MAT_BF, SEL_KNN, 2757, 297, 17536, 173, 49.3221, 52.6591, 2.13962
5, BRISK, FREAK, MAT_BF, SEL_KNN, 2695, 279, 16384, 161, 48.2294, 51.0909, 2.05851
6, BRISK, FREAK, MAT_BF, SEL_KNN, 2715, 289, 17216, 183, 48.229, 52.8993, 2.01485
7, BRISK, FREAK, MAT_BF, SEL_KNN, 2628, 272, 16320, 169, 46.6793, 51.6332, 1.99729
8, BRISK, FREAK, MAT_BF, SEL_KNN, 2639, 266, 15552, 178, 47.5157, 51.9491, 1.88762
9, BRISK, FREAK, MAT_BF, SEL_KNN, 2672, 254, 15168, 168, 47.4095, 51.5754, 1.80582
0, BRISK, SIFT, MAT_BF, SEL_KNN, 2757, 264, 33792, 0, 51.5665, 69.1649, 0
1, BRISK, SIFT, MAT_BF, SEL_KNN, 2777, 282, 36096, 182, 49.0576, 69.8587, 2.93167
2, BRISK, SIFT, MAT_BF, SEL_KNN, 2741, 282, 36096, 193, 51.0901, 70.7259, 3.00136
3, BRISK, SIFT, MAT_BF, SEL_KNN, 2735, 277, 35456, 169, 48.3186, 69.9364, 3.68413
4, BRISK, SIFT, MAT_BF, SEL_KNN, 2757, 297, 38016, 183, 48.5612, 72.3922, 2.90418
5, BRISK, SIFT, MAT_BF, SEL_KNN, 2695, 279, 35712, 171, 48.6778, 67.1077, 3.04417
6, BRISK, SIFT, MAT_BF, SEL_KNN, 2715, 289, 36992, 195, 47.5661, 68.729, 2.83059
7, BRISK, SIFT, MAT_BF, SEL_KNN, 2628, 272, 34816, 194, 47.5857, 67.8992, 2.80714
8, BRISK, SIFT, MAT_BF, SEL_KNN, 2639, 266, 34048, 176, 47.5545, 67.774, 2.57155
9, BRISK, SIFT, MAT_BF, SEL_KNN, 2672, 254, 32512, 183, 47.2051, 63.4499, 2.53871
0, ORB, BRISK, MAT_BF, SEL_KNN, 500, 92, 5312, 0, 11.3477, 1.41804, 0
1, ORB, BRISK, MAT_BF, SEL_KNN, 500, 102, 5952, 73, 9.5859, 1.46237, 0.329029
2, ORB, BRISK, MAT_BF, SEL_KNN, 500, 106, 6080, 74, 8.5882, 1.47487, 0.34874
3, ORB, BRISK, MAT_BF, SEL_KNN, 500, 113, 6592, 79, 8.53416, 1.88251, 0.401716
4, ORB, BRISK, MAT_BF, SEL_KNN, 500, 109, 6464, 85, 8.69879, 1.76215, 0.435333
5, ORB, BRISK, MAT_BF, SEL_KNN, 500, 125, 7424, 79, 9.82568, 2.12139, 0.457665
6, ORB, BRISK, MAT_BF, SEL_KNN, 500, 130, 7680, 92, 8.51842, 1.80342, 0.560028
7, ORB, BRISK, MAT_BF, SEL_KNN, 500, 129, 7680, 90, 8.58064, 1.8293, 0.526705
8, ORB, BRISK, MAT_BF, SEL_KNN, 500, 127, 7616, 88, 8.91754, 1.77056, 0.521785
9, ORB, BRISK, MAT_BF, SEL_KNN, 500, 128, 7680, 91, 8.65068, 1.92958, 0.614427
0, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 92, 2944, 0, 7.91634, 0.678766, 0
1, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 102, 3264, 49, 9.2568, 0.576127, 0.333395
2, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 106, 3392, 43, 10.499, 1.10986, 0.383835
3, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 113, 3616, 45, 7.58026, 0.639159, 0.39619
4, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 109, 3488, 59, 11.0267, 0.742002, 0.443349
5, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 125, 4000, 53, 7.60448, 0.669271, 0.440718
6, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 130, 4160, 78, 9.69082, 0.700181, 0.557611
7, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 129, 4128, 68, 8.5755, 1.1522, 0.53289
8, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 127, 4064, 84, 7.61087, 0.666375, 0.519846
9, ORB, BRIEF, MAT_BF, SEL_KNN, 500, 128, 4096, 66, 10.1268, 0.685367, 0.548748
0, ORB, ORB, MAT_BF, SEL_KNN, 500, 92, 2944, 0, 7.60369, 5.06622, 0
1, ORB, ORB, MAT_BF, SEL_KNN, 500, 102, 3264, 67, 7.82517, 4.90385, 0.384346
2, ORB, ORB, MAT_BF, SEL_KNN, 500, 106, 3392, 70, 12.4263, 5.42114, 0.440831
3, ORB, ORB, MAT_BF, SEL_KNN, 500, 113, 3616, 72, 8.43678, 5.47903, 0.461087
4, ORB, ORB, MAT_BF, SEL_KNN, 500, 109, 3488, 84, 7.84528, 5.38838, 0.482937
5, ORB, ORB, MAT_BF, SEL_KNN, 500, 125, 4000, 91, 7.78771, 4.98083, 0.511981
6, ORB, ORB, MAT_BF, SEL_KNN, 500, 130, 4160, 101, 10.5081, 5.12909, 1.08843
7, ORB, ORB, MAT_BF, SEL_KNN, 500, 129, 4128, 92, 9.08656, 6.98526, 0.592781
